brand,@lat,@lon
,60.0469574,30.3877733
Дикси,59.9614075,30.3153883
Перекресток,59.9627009,30.2942570
Перекресток,59.9720253,30.4358669
Дикси,60.0028311,30.3604361
Пятерочка,59.9368426,30.4836375
Пятерочка,59.9393014,30.4753499
Пятерочка,59.9365111,30.4891133
Пятерочка,59.8156881,30.5745300
Пятерочка,59.9002424,30.4794242
Пятерочка,59.9598044,30.4139726
Магнит,59.8573855,30.1792148
Пятерочка,59.8590975,30.1847402
Ашан,59.8947048,30.5137657
,59.8799689,30.4607617
Магнит,59.9177746,30.3455293
Магнит,59.8676815,30.4619735
Перекресток,59.8466839,30.2445481
Перекресток,59.9265825,30.3205813
Пятерочка,59.8509289,30.1768481
Пятерочка,59.9988716,29.7682549
,59.9178996,30.2893587
,59.7334049,30.5771521
,59.8756630,30.3992884
Пятерочка,59.8727648,30.3914417
,59.8711455,30.4060391
Пятерочка,59.8487739,30.3126445
Auchan,59.9898087,30.2568749
Пятерочка,60.0125770,30.2422787
Пятерочка,60.0496164,30.3536697
Prisma,59.9245828,30.3857108
,59.8472275,30.3305281
Ашан,59.8692524,30.3508704
Карусель,59.9462938,30.4752919
,59.9464996,30.4693660
Магнит,59.8903590,30.2706915
Пятерочка,60.0327798,30.3846117
Пятерочка,60.0264858,30.4123213
Пятерочка,59.8284987,30.3980625
Семишагофф,60.0244876,30.3952878
Пятерочка,60.0071788,30.3520746
Пятерочка,59.8120158,30.2904344
Пятерочка,59.8644392,30.3133890
Дикси,60.0281598,30.6292580
Дикси,59.9668869,30.3428667
,59.8562287,30.2234066
Пятерочка,59.8687791,30.3130500
Пятерочка,59.8527835,30.3821077
Дикси,59.8552166,30.3251952
Prisma,59.8513847,30.3085500
,59.7455926,30.5918485
,59.7424461,30.5820126
,59.7480903,30.5675259
,59.7470426,30.6126364
,59.7411197,30.5917366
Пятерочка,59.8757977,30.4464687
Семишагофф,59.8397995,30.3291796
Пятерочка,59.8390122,30.3307833
Пятерочка,59.9346832,30.2711543
Дикси,59.9723813,30.3403979
,59.9942777,30.1460337
,59.8406579,30.3175749
,59.8870323,29.8614209
,59.8821179,29.8922049
Пятерочка,59.9254723,30.4235541
Пятерочка,59.9265595,30.4152703
,59.8535136,30.3534871
,59.7178920,30.0761342
Пятерочка,59.7292286,30.0835227
,59.7213982,30.0684550
Пятерочка,59.8285718,30.1565101
Магнит,59.8325914,30.1476788
Дикси,59.9519805,30.3006939
Дикси,59.8448614,30.4084304
,60.0170353,30.2448100
,59.9033459,30.2201925
Магнит,59.8986312,30.2133770
,59.8743896,30.2686674
Перекресток,59.8494025,30.2683088
Ашан,60.0917892,30.3819204
,59.8280232,30.3259124
Дикси,59.9242958,30.4500651
,59.9235465,30.4529942
Перекресток,59.9581684,30.3131303
Пятерочка,59.8329921,30.5070632
Дикси,59.9323364,30.2394515
Магнит,59.7343598,30.4207417
Пятерочка,59.9569766,30.3550403
,59.9589009,30.3495816
Пятерочка,60.0065532,30.1986593
Пятерочка,59.9519599,30.2166170
Пятерочка,59.9491968,30.2294770
Магнит,59.9433156,30.2346274
Пятерочка,59.9381674,30.2426145
Пятерочка,59.9361109,30.2428933
Пятерочка,59.9376871,30.2380861
Дикси,60.0097768,30.3498161
